move,skill,turn,color,match,piece_that_take,piece_taken,check,player
e4,=,1,W,1,0,0,0,Hikaru Nakamura
e5,=,1,B,1,0,0,0,Magnus Carlsen
Nf3,=,2,W,1,0,0,0,Hikaru Nakamura
Nc6,=,2,B,1,0,0,0,Magnus Carlsen
d4,=,3,W,1,0,0,0,Hikaru Nakamura
exd4,=,3,B,1,p,p,0,Magnus Carlsen
Nxd4,=,4,W,1,N,p,0,Hikaru Nakamura
Nf6,=,4,B,1,0,0,0,Magnus Carlsen
Nc3,=,5,W,1,0,0,0,Hikaru Nakamura
Bb4,=,5,B,1,0,0,0,Magnus Carlsen
Nxc6,=,6,W,1,N,N,0,Hikaru Nakamura
bxc6,=,6,B,1,p,N,0,Magnus Carlsen
Bd3,=,7,W,1,0,0,0,Hikaru Nakamura
O-O,=,7,B,1,0,0,0,Magnus Carlsen
O-O,=,8,W,1,0,0,0,Hikaru Nakamura
d5,=,8,B,1,0,0,0,Magnus Carlsen
exd5,=,9,W,1,p,p,0,Hikaru Nakamura
Bg4,=,9,B,1,0,0,0,Magnus Carlsen
f3,=,10,W,1,0,0,0,Hikaru Nakamura
Bh5,#5c8bb0,10,B,1,0,0,0,Magnus Carlsen
dxc6,=,11,W,1,p,p,0,Hikaru Nakamura
Qd4+,#5c8bb0,11,B,1,0,0,1,Magnus Carlsen
Kh1,=,12,W,1,0,0,0,Hikaru Nakamura
Bxc3,=,12,B,1,B,N,0,Magnus Carlsen
bxc3,=,13,W,1,p,B,0,Hikaru Nakamura
Qxc3,=,13,B,1,Q,p,0,Magnus Carlsen
Rb1,=,14,W,1,0,0,0,Hikaru Nakamura
Qxc6,=,14,B,1,Q,p,0,Magnus Carlsen
Bb2,=,15,W,1,0,0,0,Hikaru Nakamura
Bg6,=,15,B,1,0,0,0,Magnus Carlsen
Bxg6,=,16,W,1,B,B,0,Hikaru Nakamura
hxg6,=,16,B,1,p,B,0,Magnus Carlsen
Qd3,=,17,W,1,0,0,0,Hikaru Nakamura
Rfd8,=,17,B,1,0,0,0,Magnus Carlsen
Qc3,=,18,W,1,0,0,0,Hikaru Nakamura
Qxc3,=,18,B,1,Q,Q,0,Magnus Carlsen
Bxc3,=,19,W,1,B,Q,0,Hikaru Nakamura
Nd5,=,19,B,1,0,0,0,Magnus Carlsen
Ba5,=,20,W,1,0,0,0,Hikaru Nakamura
Ne3,=,20,B,1,0,0,0,Magnus Carlsen
Rfe1,=,21,W,1,0,0,0,Hikaru Nakamura
Nxc2,=,21,B,1,N,p,0,Magnus Carlsen
Rec1,=,22,W,1,0,0,0,Hikaru Nakamura
Ne3,=,22,B,1,0,0,0,Magnus Carlsen
Rxc7,=,23,W,1,R,p,0,Hikaru Nakamura
Rab8,=,23,B,1,0,0,0,Magnus Carlsen
Rg1,=,24,W,1,0,0,0,Hikaru Nakamura
a6,=,24,B,1,0,0,0,Magnus Carlsen
Re7,=,25,W,1,0,0,0,Hikaru Nakamura
Re8,#e6912c,25,B,1,0,0,0,Magnus Carlsen
Rxe8+,=,26,W,1,R,R,1,Hikaru Nakamura
Rxe8,=,26,B,1,R,R,0,Magnus Carlsen
Re1,#5c8bb0,27,W,1,0,0,0,Hikaru Nakamura
Re6,=,27,B,1,0,0,0,Magnus Carlsen
Kg1,=,28,W,1,0,0,0,Hikaru Nakamura
Re7,#e6912c,28,B,1,0,0,0,Magnus Carlsen
Bb4,#ee6b55,29,W,1,0,0,0,Hikaru Nakamura
Rb7,#5c8bb0,29,B,1,0,0,0,Magnus Carlsen
Rxe3,=,30,W,1,R,N,0,Hikaru Nakamura
Rxb4,=,30,B,1,R,B,0,Magnus Carlsen
Re8+,=,31,W,1,0,0,1,Hikaru Nakamura
Kh7,=,31,B,1,0,0,0,Magnus Carlsen
Re4,=,32,W,1,0,0,0,Hikaru Nakamura
Rb1+,=,32,B,1,0,0,1,Magnus Carlsen
Kf2,=,33,W,1,0,0,0,Hikaru Nakamura
Rb2+,=,33,B,1,0,0,1,Magnus Carlsen
Re2,=,34,W,1,0,0,0,Hikaru Nakamura
Rb4,=,34,B,1,0,0,0,Magnus Carlsen
Kg3,=,35,W,1,0,0,0,Hikaru Nakamura
Ra4,=,35,B,1,0,0,0,Magnus Carlsen
Rd2,=,36,W,1,0,0,0,Hikaru Nakamura
g5,=,36,B,1,0,0,0,Magnus Carlsen
Rc2,=,37,W,1,0,0,0,Hikaru Nakamura
f6,=,37,B,1,0,0,0,Magnus Carlsen
Kh3,=,38,W,1,0,0,0,Hikaru Nakamura
Kg6,=,38,B,1,0,0,0,Magnus Carlsen
g3,=,39,W,1,0,0,0,Hikaru Nakamura
Kh6,=,39,B,1,0,0,0,Magnus Carlsen
Kg2,=,40,W,1,0,0,0,Hikaru Nakamura
Kg6,=,40,B,1,0,0,0,Magnus Carlsen
Rd2,=,41,W,1,0,0,0,Hikaru Nakamura
Kh6,=,41,B,1,0,0,0,Magnus Carlsen
