,move,skill,turn,color,match,piece_that_take,piece_taken
0,e4,=,1,W,1,,
1,e5,=,1,B,1,,
2,Nf3,=,2,W,1,,
3,Nc6,=,2,B,1,,
4,d4,=,3,W,1,,
5,exd4,=,3,B,1,e,d
6,Nxd4,=,4,W,1,N,d
7,Nf6,=,4,B,1,,
8,Nc3,=,5,W,1,,
9,Bb4,=,5,B,1,,
10,Nxc6,=,6,W,1,N,c
11,bxc6,=,6,B,1,b,c
12,Bd3,=,7,W,1,,
13,O-O,=,7,B,1,,
14,O-O,=,8,W,1,,
15,d5,=,8,B,1,,
16,exd5,=,9,W,1,e,d
17,Bg4,=,9,B,1,,
18,f3,=,10,W,1,,
19,Bh5,#5c8bb0,10,B,1,,
20,dxc6,=,11,W,1,d,c
21,Qd4+,#5c8bb0,11,B,1,,
22,Kh1,=,12,W,1,,
23,Bxc3,=,12,B,1,B,c
24,bxc3,=,13,W,1,b,c
25,Qxc3,=,13,B,1,Q,c
26,Rb1,=,14,W,1,,
27,Qxc6,=,14,B,1,Q,c
28,Bb2,=,15,W,1,,
29,Bg6,=,15,B,1,,
30,Bxg6,=,16,W,1,B,g
31,hxg6,=,16,B,1,h,g
32,Qd3,=,17,W,1,,
33,Rfd8,=,17,B,1,,
34,Qc3,=,18,W,1,,
35,Qxc3,=,18,B,1,Q,c
36,Bxc3,=,19,W,1,B,c
37,Nd5,=,19,B,1,,
38,Ba5,=,20,W,1,,
39,Ne3,=,20,B,1,,
40,Rfe1,=,21,W,1,,
41,Nxc2,=,21,B,1,N,c
42,Rec1,=,22,W,1,,
43,Ne3,=,22,B,1,,
44,Rxc7,=,23,W,1,R,c
45,Rab8,=,23,B,1,,
46,Rg1,=,24,W,1,,
47,a6,=,24,B,1,,
48,Re7,=,25,W,1,,
49,Re8,#e6912c,25,B,1,,
50,Rxe8+,=,26,W,1,R,e+
51,Rxe8,=,26,B,1,R,e
52,Re1,#5c8bb0,27,W,1,,
53,Re6,=,27,B,1,,
54,Kg1,=,28,W,1,,
55,Re7,#e6912c,28,B,1,,
56,Bb4,#ee6b55,29,W,1,,
57,Rb7,#5c8bb0,29,B,1,,
58,Rxe3,=,30,W,1,R,e
59,Rxb4,=,30,B,1,R,b
60,Re8+,=,31,W,1,,
61,Kh7,=,31,B,1,,
62,Re4,=,32,W,1,,
63,Rb1+,=,32,B,1,,
64,Kf2,=,33,W,1,,
65,Rb2+,=,33,B,1,,
66,Re2,=,34,W,1,,
