player,color_generic,clock_value,clock_result,accuracy_score,game,clock_value_numeric
Hikaru Nakamura,W,0:30,DRAW,96.1,1,30.0
Magnus Carlsen,B,0:25,DRAW,96.0,1,25.0
Magnus Carlsen,W,0:05.1,DRAW,80.4,2,5.1
Hikaru Nakamura,B,0:05.1,DRAW,78.2,2,5.1
Hikaru Nakamura,W,0:37,WON,92.2,3,37.0
Magnus Carlsen,B,0:23,LOST,86.4,3,23.0
Magnus Carlsen,W,0:04.4,WON,83.0,4,4.4
Hikaru Nakamura,B,0:02.3,LOST,76.1,4,2.3
Hikaru Nakamura,W,0:35,WON,95.6,5,35.0
Magnus Carlsen,B,0:22,LOST,86.8,5,22.0
Magnus Carlsen,W,0:14.3,LOST,84.7,6,14.3
Hikaru Nakamura,B,0:19.8,WON,90.9,6,19.8
Hikaru Nakamura,W,0:12.5,DRAW,93.4,7,12.5
Magnus Carlsen,B,0:20,DRAW,94.1,7,20.0
Magnus Carlsen,W,0:14.3,WON,88.3,8,14.3
Hikaru Nakamura,B,0:16.7,LOST,79.5,8,16.7
Hikaru Nakamura,W,0:31,WON,88.9,9,31.0
Magnus Carlsen,B,0:14.3,LOST,82.9,9,14.3
Magnus Carlsen,W,0:00,LOST,96.8,10,0.0
Hikaru Nakamura,B,0:04.5,WON,97.0,10,4.5
Hikaru Nakamura,W,0:40,WON,95.3,11,40.0
Magnus Carlsen,B,0:36,LOST,85.1,11,36.0
Magnus Carlsen,W,0:07.4,LOST,85.7,12,7.4
Hikaru Nakamura,B,0:14.0,WON,92.0,12,14.0
Hikaru Nakamura,W,0:06.3,DRAW,92.7,13,6.3
Magnus Carlsen,B,0:02.9,DRAW,92.9,13,2.9
Magnus Carlsen,W,0:24,DRAW,80.7,14,24.0
Hikaru Nakamura,B,0:26,DRAW,83.3,14,26.0
Hikaru Nakamura,W,0:43,LOST,76.0,15,43.0
Magnus Carlsen,B,0:40,WON,91.0,15,40.0
Magnus Carlsen,W,0:03.8,WON,89.4,16,3.8
Hikaru Nakamura,B,0:04.2,LOST,80.9,16,4.2
Hikaru Nakamura,W,0:07.1,DRAW,97.4,17,7.1
Magnus Carlsen,B,0:02.8,DRAW,95.2,17,2.8
Magnus Carlsen,W,0:48,DRAW,93.5,18,48.0
Hikaru Nakamura,B,0:00.7,DRAW,93.8,18,0.7
Hikaru Nakamura,W,0:16.6,DRAW,99.0,19,16.6
Magnus Carlsen,B,0:27,DRAW,99.5,19,27.0
Magnus Carlsen,W,0:04.5,DRAW,85.7,20,4.5
Hikaru Nakamura,B,0:16.3,DRAW,86.0,20,16.3
Hikaru Nakamura,W,0:06.0,DRAW,90.8,21,6.0
Magnus Carlsen,B,0:05.0,DRAW,91.5,21,5.0
Magnus Carlsen,W,0:32,WON,93.7,22,32.0
Hikaru Nakamura,B,0:27,LOST,85.3,22,27.0
Hikaru Nakamura,W,0:27,WON,88.5,23,27.0
Magnus Carlsen,B,0:14.3,LOST,84.1,23,14.3
Magnus Carlsen,W,0:01.2,WON,90.2,24,1.2
Hikaru Nakamura,B,0:00,LOST,86.7,24,0.0
Hikaru Nakamura,W,0:26,LOST,69.9,25,26.0
Magnus Carlsen,B,0:26,WON,79.3,25,26.0
Magnus Carlsen,W,0:17.8,DRAW,91.8,26,17.8
Hikaru Nakamura,B,0:22,DRAW,92.1,26,22.0
Hikaru Nakamura,W,0:12.6,LOST,77.7,27,12.6
Magnus Carlsen,B,0:07.5,WON,84.9,27,7.5
Magnus Carlsen,W,0:18.4,DRAW,77.4,28,18.4
Hikaru Nakamura,B,0:11.7,DRAW,78.7,28,11.7
Hikaru Nakamura,W,0:23,WON,78.0,29,23.0
Magnus Carlsen,B,0:12.5,LOST,75.5,29,12.5
Magnus Carlsen,W,0:20,WON,86.0,30,20.0
Hikaru Nakamura,B,0:17.5,LOST,82.7,30,17.5
Hikaru Nakamura,W,0:03.5,WON,79.8,31,3.5
Magnus Carlsen,B,0:00,LOST,79.3,31,0.0
Magnus Carlsen,W,0:09.8,LOST,92.4,32,9.8
Hikaru Nakamura,B,0:21,WON,96.7,32,21.0
