move,skill,turn,color,match
e4,=,1,W,1
e5,=,1,B,1
Nf3,=,2,W,1
Nc6,=,2,B,1
d4,=,3,W,1
exd4,=,3,B,1
Nxd4,=,4,W,1
Nf6,=,4,B,1
Nc3,=,5,W,1
Bb4,=,5,B,1
Nxc6,=,6,W,1
bxc6,=,6,B,1
Bd3,=,7,W,1
O-O,=,7,B,1
O-O,=,8,W,1
d5,=,8,B,1
exd5,=,9,W,1
Bg4,=,9,B,1
f3,=,10,W,1
Bh5,#5c8bb0,10,B,1
dxc6,=,11,W,1
Qd4+,#5c8bb0,11,B,1
Kh1,=,12,W,1
Bxc3,=,12,B,1
bxc3,=,13,W,1
Qxc3,=,13,B,1
Rb1,=,14,W,1
Qxc6,=,14,B,1
Bb2,=,15,W,1
Bg6,=,15,B,1
Bxg6,=,16,W,1
hxg6,=,16,B,1
Qd3,=,17,W,1
Rfd8,=,17,B,1
Qc3,=,18,W,1
Qxc3,=,18,B,1
Bxc3,=,19,W,1
Nd5,=,19,B,1
Ba5,=,20,W,1
Ne3,=,20,B,1
Rfe1,=,21,W,1
Nxc2,=,21,B,1
Rec1,=,22,W,1
Ne3,=,22,B,1
Rxc7,=,23,W,1
Rab8,=,23,B,1
Rg1,=,24,W,1
a6,=,24,B,1
Re7,=,25,W,1
Re8,#e6912c,25,B,1
Rxe8+,=,26,W,1
Rxe8,=,26,B,1
Re1,#5c8bb0,27,W,1
Re6,=,27,B,1
Kg1,=,28,W,1
Re7,#e6912c,28,B,1
Bb4,#ee6b55,29,W,1
Rb7,#5c8bb0,29,B,1
Rxe3,=,30,W,1
Rxb4,=,30,B,1
Re8+,=,31,W,1
Kh7,=,31,B,1
Re4,=,32,W,1
Rb1+,=,32,B,1
Kf2,=,33,W,1
Rb2+,=,33,B,1
Re2,=,34,W,1
Rb4,=,34,B,1
Kg3,=,35,W,1
Ra4,=,35,B,1
Rd2,=,36,W,1
g5,=,36,B,1
Rc2,=,37,W,1
f6,=,37,B,1
Kh3,=,38,W,1
Kg6,=,38,B,1
g3,=,39,W,1
Kh6,=,39,B,1
Kg2,=,40,W,1
Kg6,=,40,B,1
Rd2,=,41,W,1
Kh6,=,41,B,1
Rc2,=,42,W,1
Kg6,=,42,B,1
Rd2,=,43,W,1
Kh6,=,43,B,1
Rc2,=,44,W,1
e4,=,1,W,2
d6,=,1,B,2
Nf3,=,2,W,2
g6,=,2,B,2
d4,=,3,W,2
Bg7,=,3,B,2
Bd3,=,4,W,2
Nf6,=,4,B,2
O-O,=,5,W,2
Nbd7,=,5,B,2
Re1,=,6,W,2
e5,=,6,B,2
c3,=,7,W,2
O-O,=,7,B,2
h3,=,8,W,2
Re8,=,8,B,2
Nbd2,=,9,W,2
b6,=,9,B,2
Nf1,=,10,W,2
Bb7,=,10,B,2
Ng3,=,11,W,2
exd4,#e6912c,11,B,2
cxd4,=,12,W,2
c5,=,12,B,2
d5,#5c8bb0,13,W,2
a6,#e6912c,13,B,2
a4,=,14,W,2
Rc8,=,14,B,2
Bf4,=,15,W,2
c4,=,15,B,2
Bc2,=,16,W,2
Nc5,=,16,B,2
Qd2,=,17,W,2
b5,=,17,B,2
axb5,=,18,W,2
axb5,=,18,B,2
Nd4,#e6912c,19,W,2
Qb6,#5c8bb0,19,B,2
Ngf5,#b33430,20,W,2
Nfxe4,=,20,B,2
Qe3,=,21,W,2
gxf5,#ee6b55,21,B,2
Nxf5,=,22,W,2
Bxb2,=,22,B,2
Bxe4,=,23,W,2
Rxe4,=,23,B,2
Qg3+,#5c8bb0,24,W,2
Kh8,#5c8bb0,24,B,2
Nxd6,=,25,W,2
Rf8,=,25,B,2
Nxe4,=,26,W,2
Nxe4,=,26,B,2
Be5+,#e6912c,27,W,2
f6,#5c8bb0,27,B,2
Rxe4,=,28,W,2
Bxe5,=,28,B,2
Rxe5,=,29,W,2
fxe5,=,29,B,2
Rb1,=,30,W,2
Qd4,=,30,B,2
Rxb5,=,31,W,2
Bxd5,=,31,B,2
Kh2,=,32,W,2
c3,=,32,B,2
Ra5,=,33,W,2
c2,=,33,B,2
Ra4,=,34,W,2
c1=Q,=,34,B,2
Rxd4,=,35,W,2
