player,color_generic,clock_value,clock_result,accuracy_score,game
Hikaru Nakamura,W,0:30,DRAW,96.1,1
Magnus Carlsen,B,0:25,DRAW,96.0,1
Hikaru Nakamura,W,0:05.1,DRAW,80.4,2
Magnus Carlsen,B,0:05.1,DRAW,78.2,2
Hikaru Nakamura,W,0:37,WON,92.2,3
Magnus Carlsen,B,0:23,LOST,86.4,3
Hikaru Nakamura,W,0:04.4,WON,100.0,4
Magnus Carlsen,B,0:02.3,LOST,100.0,4
Hikaru Nakamura,W,0:35,WON,95.6,5
Magnus Carlsen,B,0:22,LOST,86.8,5
Hikaru Nakamura,W,0:14.3,LOST,84.7,6
Magnus Carlsen,B,0:19.8,WON,90.9,6
Hikaru Nakamura,W,0:12.5,DRAW,100.0,7
Magnus Carlsen,B,0:20,DRAW,100.0,7
Hikaru Nakamura,W,0:14.3,WON,88.3,8
Magnus Carlsen,B,0:16.7,LOST,79.5,8
Hikaru Nakamura,W,0:31,WON,88.9,9
Magnus Carlsen,B,0:14.3,LOST,82.9,9
Hikaru Nakamura,W,0:00,LOST,96.8,10
Magnus Carlsen,B,0:04.5,WON,97.0,10
Hikaru Nakamura,W,0:40,WON,95.3,11
Magnus Carlsen,B,0:36,LOST,85.1,11
Hikaru Nakamura,W,0:07.4,LOST,85.7,12
Magnus Carlsen,B,0:14.0,WON,92.0,12
Hikaru Nakamura,W,0:06.3,DRAW,92.7,13
Magnus Carlsen,B,0:02.9,DRAW,92.9,13
Hikaru Nakamura,W,0:24,DRAW,80.7,14
Magnus Carlsen,B,0:26,DRAW,83.3,14
Hikaru Nakamura,W,0:43,LOST,76.0,15
Magnus Carlsen,B,0:40,WON,91.0,15
Hikaru Nakamura,W,0:03.8,WON,89.4,16
Magnus Carlsen,B,0:04.2,LOST,80.9,16
Hikaru Nakamura,W,0:07.1,DRAW,97.4,17
Magnus Carlsen,B,0:02.8,DRAW,95.2,17
Hikaru Nakamura,W,0:48,DRAW,93.5,18
Magnus Carlsen,B,0:00.7,DRAW,93.8,18
Hikaru Nakamura,W,0:16.6,DRAW,99.0,19
Magnus Carlsen,B,0:27,DRAW,99.5,19
Hikaru Nakamura,W,0:04.5,DRAW,85.7,20
Magnus Carlsen,B,0:16.3,DRAW,86.0,20
Hikaru Nakamura,W,0:06.0,DRAW,100.0,21
Magnus Carlsen,B,0:05.0,DRAW,100.0,21
Hikaru Nakamura,W,0:32,WON,93.7,22
Magnus Carlsen,B,0:27,LOST,85.3,22
Hikaru Nakamura,W,0:27,WON,88.5,23
Magnus Carlsen,B,0:14.3,LOST,84.1,23
Hikaru Nakamura,W,0:01.2,WON,90.2,24
Magnus Carlsen,B,0:00,LOST,86.7,24
Hikaru Nakamura,W,0:26,LOST,69.9,25
Magnus Carlsen,B,0:26,WON,79.3,25
Hikaru Nakamura,W,0:17.8,DRAW,91.8,26
Magnus Carlsen,B,0:22,DRAW,92.1,26
Hikaru Nakamura,W,0:12.6,LOST,77.7,27
Magnus Carlsen,B,0:07.5,WON,84.9,27
Hikaru Nakamura,W,0:18.4,DRAW,77.4,28
Magnus Carlsen,B,0:11.7,DRAW,78.7,28
Hikaru Nakamura,W,0:23,WON,78.0,29
Magnus Carlsen,B,0:12.5,LOST,75.5,29
Hikaru Nakamura,W,0:20,WON,86.0,30
Magnus Carlsen,B,0:17.5,LOST,82.7,30
Hikaru Nakamura,W,0:03.5,WON,79.8,31
Magnus Carlsen,B,0:00,LOST,79.3,31
Hikaru Nakamura,W,0:09.8,LOST,92.4,32
Magnus Carlsen,B,0:21,WON,96.7,32
